

Language	 Step	 Environment	 Start date	 End date	 
esCO	 DTP and create PDF	 File handling in SAP Document Center	 May 30, 2023	 June 01, 2023 17:00 CET	 
esCO	 Make changes	 File handling in SAP Document Center	 June 07, 2023	 June 08, 2023 17:00 CET	 
enGB	 DTP and create PDF	 File handling in SAP Document Center	 May 25, 2023	 May 30, 2023 17:00 CET	 
enGB	 Make changes	 File handling in SAP Document Center	 June 05, 2023	 June 06, 2023 17:00 CET	 
deDE	 DTP and create PDF	 File handling in SAP Document Center	 May 30, 2023	 June 01, 2023 17:00 CET	 
deDE	 Make changes	 File handling in SAP Document Center	 June 07, 2023	 June 09, 2023 17:00 CET	 
esES	 DTP and create PDF	 File handling in SAP Document Center	 May 29, 2023	 May 31, 2023 17:00 CET	 
esES	 Make changes	 File handling in SAP Document Center	 June 06, 2023	 June 07, 2023 17:00 CET	 
frFR	 DTP and create PDF	 File handling in SAP Document Center	 May 30, 2023	 June 01, 2023 17:00 CET	 
frFR	 Make changes	 File handling in SAP Document Center	 June 07, 2023	 June 08, 2023 17:00 CET	 
itIT	 DTP and create PDF	 File handling in SAP Document Center	 May 29, 2023	 May 31, 2023 17:00 CET	 
itIT	 Make changes	 File handling in SAP Document Center	 June 07, 2023	 June 08, 2023 17:00 CET	 
nlNL	 DTP and create PDF	 File handling in SAP Document Center	 May 30, 2023	 June 01, 2023 17:00 CET	 
nlNL	 Make changes	 File handling in SAP Document Center	 June 07, 2023	 June 09, 2023 17:00 CET	 
ptBR	 DTP and create PDF	 File handling in SAP Document Center	 May 29, 2023	 May 31, 2023 17:00 CET	 
ptBR	 Make changes	 File handling in SAP Document Center	 June 06, 2023	 June 07, 2023 17:00 CET	 


